Working,Lazy,time
0,1,0
3,1,2.003053
7,1,4.00731
6,6,6.009488
8,8,8.01402
9,11,10.01668
11,13,12.02558
19,9,14.02971
16,16,16.0384
22,14,18.04578
20,19,20.04975
20,23,22.06334
26,21,24.06915
20,31,26.08184
28,27,28.10196
31,28,30.11789
29,33,32.13085
38,28,34.16265
31,39,36.17143
36,38,38.17654
38,40,40.21849
41,40,42.24796
43,42,44.29218
41,48,46.34281
45,48,48.35909
44,52,50.36314
51,49,52.38775
49,51,54.40286
46,54,56.45975
49,51,58.51598
45,55,60.56271
47,53,62.60513
47,53,64.65615
40,60,66.65771
53,47,68.6835
48,52,70.73349
46,54,72.78993
46,54,74.79378
54,46,76.81998
52,48,78.8352
51,49,80.87974
50,50,82.91248
53,47,84.94109
53,49,86.95775
53,49,88.99785
51,52,91.00763
48,57,93.08168
56,50,95.12793
52,55,97.13876
52,56,99.17202
49,59,101.2007
50,58,103.2504
50,58,105.2867
50,58,107.352
51,57,109.4128
44,64,111.4317
45,63,113.4472
47,61,115.4863
44,64,117.5182
41,67,119.5546
42,66,121.6134
44,64,123.6353
52,56,125.6648
55,53,127.6663
54,54,129.6862
50,58,131.7238
51,57,133.736
53,55,135.7384
56,53,137.739
56,53,139.7492
58,51,141.7892
58,51,143.806
54,55,145.8743
54,55,147.905
52,57,149.9369
55,54,151.9454
56,54,153.9485
55,55,155.992
55,55,158.0368
53,58,160.0636
54,58,162.085
55,57,164.1113
55,58,166.1582
57,56,168.1668
54,60,170.2086
55,60,172.2633
56,59,174.2679
61,54,176.2974
61,56,178.3518
57,61,180.3733
57,63,182.4104
58,62,184.4189
64,56,186.4928
63,58,188.5025
65,57,190.5266
57,66,192.5936
59,65,194.6312
61,65,196.6768
61,65,198.7068
59,67,200.7354
58,68,202.7588
52,74,204.7865
57,69,206.8164
54,72,208.8172
51,76,210.867
58,71,212.886
52,77,214.9254
61,68,216.9265
63,67,218.9857
67,63,221.041
66,64,223.0709
64,66,225.0926
55,75,227.1537
52,78,229.167
61,69,231.2203
61,69,233.2815
56,74,235.2947
60,70,237.3088
57,73,239.3771
65,65,241.395
66,65,243.4302
60,71,245.4321
57,74,247.4948
51,80,249.5084
66,65,251.5313
67,65,253.541
58,75,255.5693
68,65,257.6148
61,72,259.6732
60,74,261.7298
58,77,263.7595
56,79,265.8246
60,76,267.8999
55,81,269.9127
58,78,271.9356
61,75,273.9816
49,87,276.0344
65,71,278.1177
54,82,280.1703
69,66,282.1752
69,66,284.1803
65,70,286.185
62,73,288.217
56,79,290.2523
66,69,292.2766
68,67,294.2896
57,78,296.2988
65,71,298.3067
55,81,300.3599
64,72,302.4178
67,69,304.4344
58,78,306.4704
61,75,308.5262
53,83,310.5552
62,74,312.571
55,81,314.6154
71,64,316.6257
66,69,318.692
59,76,320.7369
63,72,322.7782
57,80,324.8215
61,76,326.8336
63,75,328.8712
54,85,330.8789
67,73,332.8892
56,84,334.9221
72,67,336.9883
73,68,339.0429
59,85,341.1157
64,82,343.1296
58,88,345.162
64,82,347.1989
61,86,349.276
50,97,351.3436
72,74,353.4117
60,86,355.44
74,72,357.4806
76,70,359.4962
62,84,361.5685
67,79,363.6268
58,88,365.6801
65,81,367.7056
72,75,369.7886
61,86,371.8483
75,71,373.9008
64,82,375.9251
72,73,377.9576
58,87,380.0441
79,66,382.0615
74,72,384.0787
65,81,386.1372
79,67,388.16
64,82,390.2168
69,77,392.2195
69,77,394.2936
54,92,396.3136
75,71,398.3636
61,86,400.4464
67,80,402.4773
71,76,404.5493
56,91,406.5751
74,73,408.6076
62,85,410.6703
71,76,412.7488
72,75,414.7963
52,95,416.8047
70,77,418.846
50,97,420.9089
73,74,422.9582
74,73,424.9838
54,93,427.0498
75,70,429.0773
51,94,431.1008
73,71,433.1765
72,72,435.1972
53,91,437.2316
74,69,439.2948
53,90,441.3062
73,70,443.3752
47,96,445.4537
77,65,447.5081
76,66,449.5193
52,90,451.5489
72,69,453.6096
48,93,455.6175
73,68,457.641
72,69,459.6969
50,91,461.7054
68,73,463.709
44,97,465.7277
75,66,467.7584
71,70,469.7998
45,96,471.8301
64,77,473.8654
29,113,475.8716
