Lazy,Working,time
0,0,0
4,0,2.002477
8,0,4.006115
3,9,6.010207
5,11,8.018388
7,13,10.02338
11,13,12.03294
15,13,14.04822
10,22,16.06418
17,19,18.06776
20,19,20.08134
22,21,22.09075
21,26,24.09265
24,27,26.10119
29,26,28.12636
26,33,30.15537
27,35,32.16883
33,33,34.20643
30,40,36.24614
32,42,38.29101
36,42,40.31387
40,41,42.35884
42,43,44.36537
43,46,46.39025
45,48,48.40772
45,51,50.47155
48,52,52.47388
43,57,54.49784
53,47,56.54572
54,46,58.5897
44,56,60.65811
44,56,62.71038
41,59,64.74619
47,53,66.76682
46,54,68.79741
49,51,70.81967
55,45,72.82813
50,50,74.87545
45,55,76.91823
44,56,78.9366
48,52,80.9843
48,52,82.99812
47,53,85.00027
43,57,87.0098
49,51,89.03509
44,56,91.05171
42,58,93.08923
43,57,95.0975
48,52,97.1301
50,50,99.17176
42,58,101.2357
43,57,103.2664
49,51,105.3111
51,49,107.3339
51,49,109.3352
43,57,111.3733
43,57,113.419
46,54,115.4209
47,53,117.4257
46,54,119.4396
48,52,121.4438
44,56,123.5005
44,56,125.539
47,53,127.5561
45,55,129.6161
47,53,131.6622
51,49,133.6625
46,54,135.6697
49,51,137.7345
47,53,139.7415
48,52,141.7838
50,50,143.8409
43,57,145.8663
42,58,147.9242
44,56,149.927
58,42,151.9629
53,47,153.9936
36,64,156.0439
41,59,158.0444
37,63,160.0556
54,46,162.0693
50,50,164.0698
46,54,166.0789
48,52,168.0793
44,56,170.1143
46,54,172.1208
51,49,174.144
47,53,176.1701
45,55,178.1716
41,59,180.1989
38,62,182.2238
43,57,184.2649
43,57,186.3172
43,57,188.3271
43,57,190.3591
49,51,192.3665
44,56,194.3876
44,56,196.4182
43,57,198.4572
40,60,200.4935
50,50,202.5349
45,55,204.538
52,48,206.595
46,54,208.6024
45,55,210.621
48,52,212.6342
51,49,214.682
51,49,216.6986
50,50,218.7388
47,53,220.7769
52,48,222.8215
44,56,224.874
49,51,226.8779
54,46,228.9287
49,51,230.9517
48,52,233.0057
46,54,235.0088
48,51,237.0356
47,52,239.0799
40,59,241.1251
50,49,243.142
48,51,245.1588
43,56,247.1818
41,58,249.2034
37,62,251.2305
47,52,253.2547
41,58,255.3153
46,53,257.3415
45,54,259.3696
41,58,261.4034
47,52,263.4154
41,58,265.4499
48,51,267.4703
38,61,269.4894
48,51,271.5003
46,53,273.5118
40,59,275.5315
42,57,277.5455
35,64,279.5507
51,47,281.5739
47,51,283.5984
40,58,285.6094
43,55,287.6419
33,65,289.7037
45,53,291.7191
46,52,293.7689
34,64,295.7987
48,50,297.8572
34,64,299.9096
42,56,301.9363
46,52,303.993
36,62,306.0234
42,56,308.0347
34,64,310.0791
45,53,312.1308
42,56,314.1876
32,66,316.2016
39,59,318.2477
29,69,320.2497
50,48,322.2938
50,48,324.3148
34,64,326.3282
47,50,328.3398
35,62,330.3698
44,53,332.3878
45,52,334.402
29,68,336.4393
47,50,338.4974
33,64,340.5111
47,48,342.5616
46,49,344.5943
32,63,346.6328
42,53,348.6999
29,66,350.72
49,46,352.7757
44,51,354.816
33,62,356.8281
46,49,358.8554
30,65,360.8848
47,48,362.9282
31,64,364.9601
39,55,366.9777
38,56,368.9823
24,70,371.0225
44,49,373.0536
29,64,375.0871
46,46,377.1442
43,49,379.1639
27,65,381.1731
43,49,383.191
32,60,385.2043
43,47,387.241
44,46,389.2728
33,57,391.3
40,49,393.3195
29,60,395.3358
33,56,397.3849
35,54,399.4253
22,67,401.4368
35,54,403.4765
24,65,405.4792
36,53,407.5252
32,57,409.5598
17,72,411.6003
41,48,413.6093
27,62,415.6313
38,51,417.6385
40,49,419.6896
23,66,421.7096
42,47,423.7527
21,68,425.7911
39,50,427.8423
40,49,429.8829
26,63,431.9047
33,56,433.9068
21,68,435.9377
37,52,437.9801
38,51,440.0061
26,63,442.0231
37,51,444.0701
25,63,446.0897
39,49,448.1354
37,51,450.1635
27,61,452.1744
38,49,454.1929
24,63,456.2269
31,56,458.2672
22,65,460.3068
40,47,462.3505
38,49,464.3678
25,62,466.3883
36,50,468.4082
24,62,470.4445
41,45,472.5029
43,43,474.5131
27,59,476.5466
37,48,478.5794
20,65,480.604
33,52,482.6124
33,52,484.6175
18,67,486.6456
35,49,488.6639
20,64,490.6795
27,53,492.7274
28,52,494.7681
19,61,496.7911
29,49,498.8187
19,59,500.8187
28,50,502.829
31,47,504.8623
18,60,506.8919
33,45,508.8938
19,59,510.8972
30,46,512.9147
33,43,514.9486
22,54,516.9822
29,45,519.0001
17,57,521.0307
26,47,523.0643
26,47,525.0865
17,56,527.0969
28,45,529.1237
18,55,531.1292
29,44,533.1659
29,44,535.1828
20,53,537.2025
37,36,539.2079
24,49,541.2083
29,43,543.2119
26,46,545.2281
14,58,547.2658
26,45,549.2822
15,56,551.2861
35,36,553.3281
32,39,555.3705
21,50,557.3789
23,46,559.3958
14,55,561.4115
21,47,563.4417
20,48,565.4489
12,56,567.4774
23,45,569.4971
17,51,571.5331
26,42,573.5601
25,43,575.565
18,50,577.5986
25,43,579.6168
12,56,581.6447
22,45,583.6528
25,42,585.6626
15,52,587.6721
20,47,589.6875
14,53,591.7074
21,45,593.7248
23,43,595.7311
15,51,597.7579
26,40,599.7922
15,51,601.8334
27,38,603.8484
16,49,605.8617
26,39,607.8748
26,39,609.8804
15,50,611.903
18,46,613.9297
9,55,615.9395
19,45,617.9644
17,47,619.9997
13,51,622.0182
31,33,624.0641
18,46,626.0737
20,44,628.0908
23,41,630.097
16,48,632.1263
25,38,634.1865
12,51,636.1891
25,38,638.1998
22,41,640.2245
16,47,642.2622
24,39,644.2799
14,49,646.3087
24,39,648.3242
22,41,650.3246
12,51,652.3475
22,40,654.3552
12,50,656.3657
26,35,658.4113
27,34,660.4194
13,48,662.433
22,37,664.4394
15,44,666.4406
17,42,668.4514
22,37,670.4724
13,46,672.4863
28,30,674.5185
16,42,676.5431
17,41,678.5767
17,41,680.5853
11,47,682.6024
18,40,684.6027
11,47,686.6163
25,32,688.6176
24,33,690.6327
15,42,692.6581
16,40,694.6665
11,45,696.6912
21,35,698.692
18,38,700.7159
13,43,702.7328
19,35,704.7525
12,42,706.7615
14,38,708.7921
16,36,710.8193
13,39,712.8229
15,37,714.8232
13,39,716.8333
17,35,718.8524
18,34,720.8645
13,39,722.8689
15,35,724.8824
11,39,726.8928
10,40,728.9154
11,39,730.9448
6,44,732.9675
15,35,734.9833
10,40,736.9973
17,33,739
17,33,741.0149
14,36,743.0346
19,30,745.0401
15,34,747.051
13,36,749.0739
13,36,751.0775
12,37,753.0972
12,37,755.1215
11,38,757.1442
14,35,759.1746
14,35,761.1761
13,36,763.2055
11,38,765.2301
10,39,767.233
12,37,769.2471
14,35,771.2697
11,38,773.2874
14,35,775.304
11,38,777.3078
13,36,779.3187
13,36,781.326
11,38,783.337
14,35,785.3615
11,38,787.3682
13,36,789.3752
13,36,791.4004
10,39,793.4201
15,34,795.4205
10,39,797.4341
15,34,799.4496
11,38,801.4562
17,32,803.4608
16,33,805.4899
12,37,807.5219
14,35,809.5313
11,38,811.5485
17,32,813.5698
16,33,815.5748
13,36,817.5807
11,38,819.6021
9,40,821.6298
16,33,823.6415
16,33,825.6592
10,39,827.6725
9,39,829.684
6,42,831.7012
17,31,833.7208
15,33,835.725
12,36,837.7443
12,36,839.7592
10,38,841.761
18,30,843.7774
17,31,845.7844
11,37,847.7891
10,38,849.8159
9,39,851.8323
17,31,853.8337
20,28,855.8411
15,33,857.8597
17,31,859.8718
11,37,861.8861
13,34,863.9025
13,34,865.9294
8,39,867.9401
14,32,869.9487
9,37,871.9648
9,37,873.9877
10,36,876.0037
8,38,878.0073
10,36,880.033
10,36,882.0342
14,32,884.0522
13,33,886.0585
8,38,888.0788
11,35,890.0993
11,35,892.1198
15,31,894.1332
16,30,896.1363
13,33,898.1455
9,36,900.1595
7,38,902.1816
14,30,904.1826
14,30,906.2147
13,31,908.2292
11,33,910.2379
10,34,912.2452
8,35,914.2694
8,35,916.2861
6,37,918.2992
13,30,920.3239
12,31,922.3409
8,34,924.3561
10,32,926.3723
11,31,928.4023
10,32,930.413
8,34,932.4398
12,30,934.444
14,28,936.4495
14,28,938.4517
14,28,940.457
12,30,942.4761
8,34,944.4769
9,33,946.4782
8,34,948.4955
12,30,950.5076
9,33,952.5095
14,28,954.5207
12,30,956.5474
13,29,958.5646
11,31,960.5721
9,33,962.5845
15,27,964.5977
16,26,966.6068
16,26,968.6153
13,29,970.6166
12,30,972.6205
13,29,974.6377
15,27,976.6492
9,33,978.6658
12,29,980.6663
13,28,982.6912
12,29,984.7059
11,30,986.7136
11,30,988.7153
13,28,990.736
12,29,992.7466
11,30,994.7603
11,30,996.762
10,31,998.7863
8,33,1000.797
7,34,1002.81
10,31,1004.811
10,31,1006.821
9,32,1008.825
9,32,1010.844
7,34,1012.87
13,28,1014.874
13,28,1016.898
12,29,1018.907
8,33,1020.917
7,34,1022.919
12,29,1024.931
14,27,1026.945
12,29,1028.964
11,30,1030.976
9,32,1032.983
